,epoch,train_loss,accuracy
0,0,5.69,0.112
1,1,4.925,0.15
2,2,4.637,0.17
3,3,4.479,0.197
4,4,4.354,0.215
5,5,4.256,0.227
6,6,4.176,0.23
7,7,4.113,0.233
8,8,4.058,0.232
9,9,4.008,0.233
10,10,3.951,0.233
11,11,3.918,0.234
12,12,3.863,0.238
13,13,3.816,0.249
14,14,3.764,0.248
15,15,3.683,0.253
16,16,3.618,0.252
17,17,3.54,0.261
18,18,3.481,0.276
19,19,3.413,0.282
20,20,3.334,0.295
21,21,3.28,0.296
22,22,3.195,0.305
23,23,3.14,0.311
24,24,3.069,0.321
25,25,3.037,0.326
26,26,2.958,0.337
27,27,2.91,0.345
28,28,2.864,0.341
29,29,2.83,0.344
30,30,2.754,0.349
31,31,2.725,0.349
32,32,2.688,0.357
33,33,2.664,0.359
34,34,2.629,0.353
35,35,2.605,0.361
36,36,2.57,0.359
37,37,2.555,0.362
38,38,2.493,0.371
39,39,2.475,0.373
40,40,2.461,0.368
41,41,2.434,0.367
42,42,2.426,0.368
43,43,2.379,0.375
44,44,2.349,0.368
45,45,2.354,0.377
46,46,2.316,0.381
47,47,2.326,0.378
48,48,2.301,0.382
49,49,2.272,0.38
50,50,2.241,0.378
51,51,2.23,0.385
52,52,2.218,0.389
53,53,2.196,0.38
54,54,2.173,0.382
55,55,2.17,0.385
56,56,2.155,0.39
57,57,2.117,0.378
58,58,2.126,0.384
59,59,2.119,0.386
60,60,2.111,0.388
61,61,2.087,0.385
62,62,2.073,0.386
63,63,2.067,0.381
64,64,2.053,0.389
65,65,2.026,0.384
66,66,2.031,0.39
67,67,2.023,0.389
68,68,2.019,0.393
69,69,1.989,0.389
70,70,1.999,0.386
71,71,1.975,0.385
72,72,1.986,0.391
73,73,1.972,0.387
74,74,1.971,0.389
75,75,1.961,0.388
76,76,1.95,0.391
77,77,1.96,0.392
78,78,1.932,0.382
79,79,1.929,0.383
80,80,1.922,0.392
81,81,1.904,0.381
82,82,1.913,0.378
83,83,1.901,0.393
84,84,1.903,0.379
85,85,1.884,0.392
86,86,1.859,0.388
87,87,1.87,0.386
88,88,1.871,0.383
89,89,1.866,0.384
90,90,1.863,0.397
91,91,1.847,0.377
92,92,1.845,0.392
93,93,1.842,0.394
94,94,1.835,0.388
95,95,1.828,0.39
96,96,1.825,0.395
97,97,1.827,0.4
98,98,1.815,0.395
99,99,1.807,0.382
