,epoch,train_loss,accuracy
0,0,5.686,0.112
1,1,4.923,0.134
2,2,4.623,0.177
3,3,4.458,0.188
4,4,4.345,0.198
5,5,4.264,0.206
6,6,4.203,0.223
7,7,4.143,0.227
8,8,4.082,0.229
9,9,4.052,0.232
10,10,3.983,0.238
11,11,3.948,0.243
12,12,3.89,0.243
13,13,3.853,0.248
14,14,3.816,0.249
15,15,3.784,0.246
16,16,3.737,0.254
17,17,3.702,0.259
18,18,3.657,0.257
19,19,3.616,0.258
20,20,3.574,0.266
21,21,3.537,0.26
22,22,3.47,0.271
23,23,3.422,0.271
24,24,3.351,0.279
25,25,3.298,0.29
26,26,3.242,0.29
27,27,3.179,0.296
28,28,3.121,0.304
29,29,3.06,0.309
30,30,3.012,0.313
31,31,2.94,0.319
32,32,2.894,0.333
33,33,2.857,0.341
34,34,2.827,0.338
35,35,2.768,0.344
36,36,2.751,0.347
37,37,2.705,0.355
38,38,2.667,0.367
39,39,2.631,0.361
40,40,2.609,0.366
41,41,2.555,0.369
42,42,2.529,0.366
43,43,2.508,0.372
44,44,2.48,0.377
45,45,2.474,0.372
46,46,2.432,0.378
47,47,2.428,0.374
48,48,2.391,0.375
49,49,2.373,0.378
50,50,2.342,0.376
51,51,2.328,0.38
52,52,2.308,0.374
53,53,2.288,0.377
54,54,2.259,0.376
55,55,2.261,0.378
56,56,2.244,0.366
57,57,2.235,0.388
58,58,2.215,0.38
59,59,2.199,0.385
60,60,2.184,0.379
61,61,2.157,0.382
62,62,2.153,0.381
63,63,2.132,0.37
64,64,2.123,0.378
65,65,2.141,0.392
66,66,2.132,0.38
67,67,2.111,0.392
68,68,2.088,0.386
69,69,2.092,0.385
70,70,2.084,0.387
71,71,2.06,0.385
72,72,2.037,0.388
73,73,2.047,0.391
74,74,2.038,0.382
75,75,2.03,0.386
76,76,2.025,0.388
77,77,2.017,0.39
78,78,1.985,0.386
79,79,1.995,0.388
80,80,1.975,0.387
81,81,1.979,0.389
82,82,1.969,0.394
83,83,1.964,0.392
84,84,1.963,0.391
85,85,1.954,0.388
86,86,1.963,0.389
87,87,1.933,0.388
88,88,1.943,0.392
89,89,1.918,0.387
90,90,1.917,0.386
91,91,1.911,0.39
92,92,1.912,0.388
93,93,1.91,0.386
94,94,1.877,0.392
95,95,1.895,0.389
96,96,1.88,0.389
97,97,1.878,0.399
98,98,1.871,0.392
99,99,1.869,0.391
