,epoch,train_loss,accuracy
0,0,5.678,0.112
1,1,4.867,0.157
2,2,4.585,0.178
3,3,4.427,0.197
4,4,4.316,0.2
5,5,4.218,0.207
6,6,4.145,0.228
7,7,4.08,0.229
8,8,4.032,0.232
9,9,3.962,0.226
10,10,3.919,0.241
11,11,3.86,0.245
12,12,3.793,0.253
13,13,3.697,0.26
14,14,3.625,0.265
15,15,3.556,0.28
16,16,3.438,0.289
17,17,3.342,0.302
18,18,3.273,0.314
19,19,3.193,0.318
20,20,3.118,0.329
21,21,3.055,0.327
22,22,2.966,0.336
23,23,2.938,0.339
24,24,2.891,0.342
25,25,2.838,0.349
26,26,2.788,0.349
27,27,2.748,0.354
28,28,2.697,0.358
29,29,2.658,0.36
30,30,2.634,0.368
31,31,2.579,0.369
32,32,2.566,0.363
33,33,2.533,0.367
34,34,2.515,0.373
35,35,2.482,0.374
36,36,2.466,0.364
37,37,2.43,0.376
38,38,2.431,0.376
39,39,2.365,0.374
40,40,2.356,0.37
41,41,2.344,0.375
42,42,2.322,0.376
43,43,2.307,0.381
44,44,2.278,0.373
45,45,2.268,0.385
46,46,2.238,0.38
47,47,2.228,0.377
48,48,2.224,0.383
49,49,2.201,0.38
50,50,2.183,0.385
51,51,2.165,0.382
52,52,2.137,0.384
53,53,2.147,0.384
54,54,2.113,0.379
55,55,2.13,0.391
56,56,2.091,0.386
57,57,2.113,0.383
58,58,2.08,0.381
59,59,2.068,0.381
60,60,2.061,0.382
61,61,2.06,0.382
62,62,2.033,0.383
63,63,2.033,0.383
64,64,2.014,0.384
65,65,2.013,0.378
66,66,2.001,0.378
67,67,1.997,0.382
68,68,1.996,0.384
69,69,1.976,0.382
70,70,1.95,0.384
71,71,1.956,0.393
72,72,1.947,0.389
73,73,1.933,0.391
74,74,1.941,0.388
75,75,1.916,0.379
76,76,1.915,0.387
77,77,1.916,0.384
78,78,1.914,0.392
79,79,1.894,0.388
80,80,1.893,0.379
81,81,1.877,0.384
82,82,1.882,0.384
83,83,1.873,0.385
84,84,1.873,0.385
85,85,1.859,0.386
86,86,1.855,0.393
87,87,1.868,0.389
88,88,1.855,0.389
89,89,1.862,0.396
90,90,1.844,0.382
91,91,1.845,0.388
92,92,1.844,0.385
93,93,1.808,0.383
94,94,1.799,0.391
95,95,1.805,0.383
96,96,1.8,0.391
97,97,1.801,0.38
98,98,1.797,0.39
99,99,1.791,0.387
