,epoch,train_loss,accuracy
0,0,5.684,0.112
1,1,4.892,0.144
2,2,4.628,0.169
3,3,4.468,0.199
4,4,4.32,0.208
5,5,4.208,0.207
6,6,4.116,0.222
7,7,4.008,0.234
8,8,3.925,0.239
9,9,3.843,0.259
10,10,3.772,0.269
11,11,3.693,0.273
12,12,3.628,0.27
13,13,3.573,0.284
14,14,3.499,0.294
15,15,3.405,0.304
16,16,3.368,0.313
17,17,3.297,0.313
18,18,3.222,0.313
19,19,3.157,0.326
20,20,3.113,0.324
21,21,3.048,0.329
22,22,2.996,0.338
23,23,2.945,0.339
24,24,2.894,0.34
25,25,2.871,0.351
26,26,2.834,0.35
27,27,2.772,0.355
28,28,2.739,0.351
29,29,2.724,0.351
30,30,2.67,0.355
31,31,2.62,0.36
32,32,2.611,0.365
33,33,2.566,0.367
34,34,2.542,0.353
35,35,2.519,0.365
36,36,2.499,0.364
37,37,2.451,0.369
38,38,2.449,0.373
39,39,2.42,0.378
40,40,2.393,0.368
41,41,2.383,0.374
42,42,2.343,0.367
43,43,2.341,0.375
44,44,2.304,0.376
45,45,2.292,0.378
46,46,2.251,0.375
47,47,2.253,0.376
48,48,2.227,0.377
49,49,2.235,0.378
50,50,2.205,0.377
51,51,2.209,0.373
52,52,2.204,0.384
53,53,2.162,0.375
54,54,2.165,0.383
55,55,2.15,0.373
56,56,2.106,0.374
57,57,2.107,0.378
58,58,2.087,0.369
59,59,2.086,0.384
60,60,2.072,0.38
61,61,2.059,0.382
62,62,2.055,0.38
63,63,2.063,0.375
64,64,2.041,0.373
65,65,2.028,0.378
66,66,2.034,0.379
67,67,2.022,0.378
68,68,1.984,0.374
69,69,1.98,0.375
70,70,1.995,0.374
71,71,1.985,0.376
72,72,1.981,0.373
73,73,1.965,0.385
74,74,1.945,0.378
75,75,1.961,0.379
76,76,1.939,0.378
77,77,1.911,0.379
78,78,1.939,0.389
79,79,1.931,0.385
80,80,1.89,0.38
81,81,1.907,0.386
82,82,1.902,0.382
83,83,1.885,0.382
84,84,1.895,0.379
85,85,1.867,0.385
86,86,1.872,0.373
87,87,1.874,0.386
88,88,1.867,0.383
89,89,1.841,0.387
90,90,1.847,0.38
91,91,1.852,0.385
92,92,1.825,0.382
93,93,1.843,0.392
94,94,1.82,0.387
95,95,1.84,0.379
96,96,1.813,0.389
97,97,1.822,0.384
98,98,1.813,0.385
99,99,1.81,0.391
