epoch,training_acc,training_loss,L2
0,68.39,824.3,856.0
1,75.87,751.23,886.0
2,80.86,726.38,912.0
3,84.92,717.69,935.0
4,85.66,711.44,954.0
5,86.54,709.59,973.0
6,92.56,700.72,994.0
7,93.63,694.85,1015.0
8,93.42,693.77,1032.0
9,94.06,693.29,1052.0
10,93.55,692.42,1071.0
11,93.83,691.42,1089.0
12,94.32,691.21,1105.0
13,94.43,691.2,1124.0
14,94.8,690.99,1142.0
15,94.93,690.52,1162.0
16,95.29,689.82,1181.0
17,95.25,689.66,1199.0
18,95.42,689.32,1217.0
19,95.13,689.0,1234.0
20,95.54,688.63,1247.0
21,95.54,688.92,1268.0
22,95.68,688.96,1288.0
23,95.38,688.65,1304.0
24,95.98,688.23,1322.0
25,95.44,688.25,1338.0
26,95.89,687.98,1353.0
27,96.0,687.89,1368.0
28,95.32,688.45,1387.0
29,95.47,688.29,1407.0
30,95.97,687.66,1421.0
31,96.15,687.72,1435.0
32,95.93,687.77,1450.0
33,95.69,687.82,1467.0
34,95.79,688.17,1489.0
35,95.68,687.56,1503.0
36,95.96,687.54,1517.0
37,95.7,687.41,1531.0
38,94.54,687.61,1544.0
39,95.43,687.86,1563.0
