epoch,training_acc,training_loss,L2
0,66.98,825.43,855.0
1,78.48,750.13,885.0
2,81.84,729.45,912.0
3,84.79,714.49,935.0
4,85.74,710.89,954.0
5,91.84,704.22,975.0
6,92.98,695.59,996.0
7,92.89,694.5,1015.0
8,94.13,693.72,1033.0
9,93.29,693.16,1052.0
10,93.32,692.72,1069.0
11,93.53,692.25,1088.0
12,94.59,691.72,1106.0
13,94.39,690.9,1126.0
14,94.79,690.18,1144.0
15,94.93,689.94,1162.0
16,95.4,689.72,1180.0
17,94.99,689.16,1196.0
18,95.07,689.11,1214.0
19,95.27,688.49,1228.0
20,95.41,688.77,1248.0
21,94.37,688.86,1270.0
22,95.95,688.42,1288.0
23,95.69,688.23,1304.0
24,95.69,688.56,1324.0
25,95.84,688.08,1340.0
26,95.63,688.17,1355.0
27,95.81,688.23,1371.0
28,96.35,687.66,1383.0
29,95.29,688.5,1407.0
30,96.15,687.94,1424.0
31,95.49,687.53,1436.0
32,95.45,688.32,1457.0
33,96.42,687.97,1473.0
34,95.66,688.01,1489.0
35,96.0,687.46,1501.0
36,95.42,688.09,1522.0
37,96.21,687.62,1537.0
38,96.01,687.36,1548.0
39,96.5,687.29,1559.0
