epoch,training_acc,training_loss,L2
0,70.68,850.12,849.0
1,81.48,800.44,880.0
2,83.99,763.24,909.0
3,84.95,754.26,932.0
4,84.69,748.71,953.0
5,86.82,744.53,973.0
6,87.58,741.65,994.0
7,88.17,738.81,1014.0
8,88.95,735.52,1035.0
9,88.5,733.1,1056.0
10,89.36,730.78,1076.0
11,89.25,730.0,1097.0
12,89.35,728.33,1118.0
13,89.43,727.06,1139.0
14,90.48,725.26,1160.0
15,90.37,724.14,1182.0
16,90.92,722.93,1205.0
17,90.65,721.99,1227.0
18,90.77,721.08,1248.0
19,90.97,719.74,1271.0
20,90.83,718.77,1295.0
21,90.74,717.76,1319.0
22,91.16,716.58,1343.0
23,90.69,716.86,1370.0
24,89.65,715.67,1395.0
25,90.98,713.88,1416.0
26,91.74,714.16,1441.0
27,90.93,712.96,1465.0
28,90.62,712.49,1488.0
29,91.3,712.03,1512.0
30,91.51,711.01,1535.0
31,91.27,710.59,1559.0
32,91.76,709.94,1583.0
33,91.87,708.74,1605.0
34,91.97,708.51,1629.0
35,91.52,708.75,1654.0
36,92.38,707.2,1676.0
37,91.39,706.74,1700.0
38,91.91,706.56,1723.0
39,91.55,705.71,1743.0
