epoch,training_acc,training_loss,L2
0,70.73,852.54,848.0
1,76.13,809.49,874.0
2,78.49,789.34,903.0
3,79.82,781.58,925.0
4,85.6,766.62,950.0
5,87.16,746.07,975.0
6,87.94,740.59,998.0
7,87.97,737.93,1020.0
8,89.16,734.55,1042.0
9,89.61,732.39,1063.0
10,89.74,729.98,1084.0
11,89.55,728.57,1106.0
12,90.1,727.0,1126.0
13,89.96,725.76,1147.0
14,90.56,724.61,1169.0
15,90.59,723.91,1191.0
16,90.34,721.68,1214.0
17,90.65,721.27,1238.0
18,91.06,720.0,1260.0
19,90.93,718.63,1282.0
20,89.71,717.63,1304.0
21,90.88,716.85,1329.0
22,91.09,715.52,1352.0
23,91.26,715.2,1377.0
24,91.45,714.6,1401.0
25,91.18,713.89,1425.0
26,91.32,713.21,1449.0
27,91.55,712.05,1472.0
28,91.5,711.51,1495.0
29,91.54,710.22,1519.0
30,91.57,709.69,1543.0
31,91.6,709.18,1567.0
32,91.77,708.7,1590.0
33,92.02,707.53,1614.0
34,91.82,707.5,1638.0
35,91.63,706.32,1660.0
36,91.52,706.34,1685.0
37,91.87,705.85,1708.0
38,91.84,704.98,1729.0
39,91.89,704.94,1751.0
