,epoch,train_loss,accuracy
0,0,4.733,0.227
1,1,3.905,0.264
2,2,3.394,0.322
3,3,3.052,0.332
4,4,2.849,0.35
5,5,2.708,0.346
6,6,2.597,0.355
7,7,2.537,0.363
8,8,2.447,0.377
9,9,2.398,0.359
10,10,2.373,0.368
11,11,2.337,0.364
12,12,2.14,0.386
13,13,2.075,0.385
14,14,2.026,0.391
15,15,1.999,0.4
16,16,1.974,0.393
17,17,1.988,0.401
18,18,1.957,0.396
19,19,1.955,0.398
20,20,1.948,0.395
21,21,1.925,0.399
22,22,1.926,0.393
23,23,1.882,0.391
24,24,1.877,0.393
25,25,1.892,0.395
26,26,1.893,0.391
27,27,1.894,0.391
28,28,1.876,0.394
29,29,1.891,0.395
30,30,1.881,0.398
31,31,1.88,0.395
32,32,1.87,0.396
33,33,1.883,0.397
34,34,1.873,0.396
35,35,1.865,0.396
36,36,1.894,0.397
37,37,1.878,0.397
38,38,1.859,0.397
39,39,1.858,0.394
40,40,1.875,0.396
41,41,1.87,0.397
42,42,1.86,0.398
43,43,1.878,0.397
44,44,1.885,0.401
45,45,1.875,0.396
46,46,1.854,0.395
47,47,1.892,0.397
48,48,1.889,0.397
49,49,1.87,0.394
50,50,1.88,0.397
51,51,1.866,0.396
52,52,1.867,0.396
53,53,1.876,0.398
54,54,1.855,0.396
55,55,1.868,0.398
56,56,1.871,0.399
57,57,1.853,0.396
58,58,1.874,0.397
59,59,1.878,0.4
60,60,1.878,0.398
61,61,1.875,0.399
62,62,1.883,0.398
63,63,1.897,0.397
64,64,1.878,0.396
65,65,1.883,0.398
66,66,1.877,0.394
67,67,1.859,0.399
68,68,1.887,0.399
69,69,1.872,0.397
70,70,1.86,0.397
71,71,1.867,0.398
72,72,1.86,0.398
73,73,1.877,0.398
74,74,1.858,0.396
75,75,1.867,0.396
76,76,1.857,0.398
77,77,1.884,0.397
78,78,1.882,0.398
79,79,1.859,0.394
80,80,1.862,0.399
81,81,1.877,0.396
82,82,1.867,0.395
83,83,1.874,0.396
84,84,1.86,0.398
85,85,1.884,0.397
86,86,1.878,0.397
87,87,1.862,0.394
88,88,1.865,0.398
89,89,1.882,0.396
90,90,1.884,0.396
91,91,1.873,0.398
92,92,1.865,0.398
93,93,1.87,0.398
94,94,1.884,0.397
95,95,1.866,0.397
96,96,1.862,0.4
97,97,1.883,0.397
98,98,1.871,0.397
99,99,1.876,0.399
