epoch,training_acc,training_loss,L2
0,75.79,846.48,850.0
1,82.94,779.26,882.0
2,84.9,763.11,908.0
3,82.97,755.06,930.0
4,85.25,750.68,950.0
5,86.76,745.99,969.0
6,86.53,742.6,988.0
7,87.96,739.48,1009.0
8,88.68,736.77,1029.0
9,88.68,734.08,1049.0
10,89.0,732.25,1069.0
11,89.41,730.53,1089.0
12,89.61,728.9,1110.0
13,89.79,728.2,1130.0
14,89.54,725.94,1151.0
15,88.47,726.05,1173.0
16,89.83,724.39,1194.0
17,90.4,723.22,1216.0
18,90.15,722.34,1238.0
19,90.6,721.72,1259.0
20,90.44,720.11,1281.0
21,90.84,719.26,1303.0
22,90.81,718.89,1325.0
23,91.16,717.33,1347.0
24,90.73,717.22,1370.0
25,90.88,716.31,1394.0
26,91.18,715.38,1415.0
27,91.02,714.45,1440.0
28,91.36,714.24,1463.0
29,90.97,713.1,1485.0
30,91.68,712.49,1507.0
31,91.74,711.58,1531.0
32,91.71,710.42,1555.0
33,91.66,710.06,1579.0
34,91.21,709.75,1602.0
35,91.45,709.33,1626.0
36,92.27,708.86,1647.0
37,91.51,708.2,1670.0
38,91.58,707.38,1693.0
39,91.85,707.12,1717.0
