epoch,training_acc,training_loss,L2
0,69.26,856.16,848.0
1,79.9,794.37,877.0
2,81.51,772.36,902.0
3,83.88,761.47,927.0
4,85.5,753.79,949.0
5,86.17,749.17,971.0
6,86.43,744.92,989.0
7,87.27,742.08,1011.0
8,87.96,739.95,1031.0
9,88.6,736.75,1051.0
10,87.67,734.38,1071.0
11,88.88,732.14,1092.0
12,89.55,729.68,1112.0
13,89.85,728.17,1133.0
14,89.97,726.68,1154.0
15,89.34,725.23,1176.0
16,89.74,724.19,1196.0
17,89.85,723.85,1219.0
18,90.29,722.2,1239.0
19,90.76,721.16,1261.0
20,90.94,720.53,1283.0
21,90.76,719.24,1306.0
22,90.95,718.45,1328.0
23,91.23,717.0,1350.0
24,90.87,717.11,1374.0
25,91.46,715.6,1397.0
26,91.56,715.25,1421.0
27,91.52,714.05,1443.0
28,91.3,713.7,1465.0
29,90.95,713.04,1488.0
30,91.11,711.76,1510.0
31,91.78,711.06,1533.0
32,91.98,710.64,1556.0
33,91.98,709.87,1578.0
34,91.53,709.3,1600.0
35,92.06,709.23,1624.0
36,91.94,707.72,1646.0
37,91.33,708.05,1670.0
38,92.0,707.58,1693.0
39,91.82,706.99,1716.0
