epoch,training_acc,training_loss,L2
0,36.4,875.53,856.0
1,42.64,832.1,896.0
2,44.4,809.52,935.0
3,51.22,794.27,970.0
4,54.08,779.8,1001.0
5,56.94,767.73,1032.0
6,55.79,758.26,1063.0
7,61.23,749.24,1092.0
8,60.66,741.47,1120.0
9,63.87,735.91,1148.0
10,63.52,729.18,1176.0
11,66.37,723.54,1206.0
12,67.38,717.8,1234.0
13,68.64,713.48,1264.0
14,67.94,707.44,1294.0
15,69.46,702.83,1324.0
16,68.73,698.38,1354.0
17,70.45,694.23,1383.0
18,71.36,689.84,1412.0
19,72.72,685.84,1441.0
20,72.51,682.63,1471.0
21,73.72,679.19,1501.0
22,73.2,675.32,1531.0
23,74.22,672.64,1560.0
24,74.57,669.71,1590.0
25,75.11,666.16,1619.0
26,75.51,663.02,1647.0
27,75.72,660.37,1676.0
28,75.95,657.65,1705.0
29,76.58,655.22,1735.0
30,76.61,652.09,1764.0
31,75.8,650.77,1795.0
32,75.75,648.59,1825.0
33,77.35,645.36,1852.0
34,76.73,643.21,1882.0
35,77.81,641.44,1911.0
36,77.83,640.15,1939.0
37,78.34,638.18,1968.0
38,77.75,635.18,1994.0
39,77.42,633.95,2020.0
